,full_text,hashtag,id,location,retweet_hashtags,retweet_mentions,user,user_mentions
0,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030936289846026240,"Sydney, New South Wales",['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",Michelle McDonald,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
1,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030412713120288769,"Newcastle, New South Wales",['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",DrGillianGould,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
2,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030408764971569152,"Turrbal & Jagera country, Qld ",['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",abbey diaz,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
3,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030371516574097409,Australia,['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",Women in STEMM Aust,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
4,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030360259376832512,South Australia,['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",Sarah Boyle 👩🏻‍🔬🎀,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
5,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356215937683456,Southern hemisphere,['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",gail simmons,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
6,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356202830454785,,['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",Anna DeFazio-Poidevin,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
7,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356181460480000,"Sydney, Australia",['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",Garvan Institute,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
8,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030330515600039937,"Darwin, Northern Territory",['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",Menzies Research,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
9,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030295727753158657,"Sydney, Australia",['Fellowship'],"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']",Franklin Women,"['Cancer Research', 'NHMRC', 'Gail Garvey', 'Menzies Research']"
10,"Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Katharina Gaus &amp; Prof Richard Lock (@UNSW), @suscla1, @DrMarinaPajic and @dralexswarbrick (@GarvanInstitute), Prof David Whiteman (@QIMRBerghofer) #Fellowship 👏",['Fellowship'],1030289764178526219,"Sydney, Australia",,,Cancer Research,"['NHMRC', 'Gail Garvey', 'Menzies Research', 'UNSW', 'susan clark', 'Marina Pajic', 'Alex swarbrick', 'Garvan Institute', 'QIMR Berghofer']"
