,full_text,hashtag,id
0,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030936289846026240
1,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030412713120288769
2,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030408764971569152
3,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030371516574097409
4,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030360259376832512
5,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356215937683456
6,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356202830454785
7,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356181460480000
8,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030330515600039937
9,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030295727753158657
10,"Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Katharina Gaus &amp; Prof Richard Lock (@UNSW), @suscla1, @DrMarinaPajic and @dralexswarbrick (@GarvanInstitute), Prof David Whiteman (@QIMRBerghofer) #Fellowship 👏",['Fellowship'],1030289764178526219
11,"It's World #MosquitoDay and we're proud of #QIMRBerghofer researchers conducting world-leading research into effective drugs, vaccines and #mosquitocontrol. Fighting back against the bite #futureofhealth https://t.co/Yz9xDwuCXE","['MosquitoDay', 'QIMRBerghofer', 'mosquitocontrol', 'futureofhealth']",1031344527808724992
12,"RT @qldscience: M for #MELANOMA ! We caught a minute with melanoma researcher Ken ""@the_funkydr"" Dutton-Regester from @QIMRBerghofer. He is…",['MELANOMA'],1031309687440863233
13,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030936289846026240
14,"@DrSarahBoyle @wirrawirrawines Well,  my PhD was in Biochemistry and I did a PostDoc at @QIMRBerghofer working on nervous system stem cells but I now work on oenology research at @The_AWRI ... scientific training can take you to many interesting places",[],1030759691779887104
15,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030412713120288769
16,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030408764971569152
17,RT @QIMRBerghofer: Vaishnavi Nathan #QIMRBerghofer #futurechangemaker @Aus_ScienceWeek excited and curious about the potential outcomes of…,"['QIMRBerghofer', 'futurechangemaker']",1030392761394970627
18,RT @QIMRBerghofer: Vaishnavi Nathan #QIMRBerghofer #futurechangemaker @Aus_ScienceWeek excited and curious about the potential outcomes of…,"['QIMRBerghofer', 'futurechangemaker']",1030389724018401280
19,RT @QIMRBerghofer: Vaishnavi Nathan #QIMRBerghofer #futurechangemaker @Aus_ScienceWeek excited and curious about the potential outcomes of…,"['QIMRBerghofer', 'futurechangemaker']",1030377007362629632
20,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030371516574097409
21,@QIMRBerghofer @Aus_ScienceWeek @vaish_1 Look forward to hearing more about your future research!,[],1030368614245793792
22,RT @QIMRBerghofer: Vaishnavi Nathan #QIMRBerghofer #futurechangemaker @Aus_ScienceWeek excited and curious about the potential outcomes of…,"['QIMRBerghofer', 'futurechangemaker']",1030362229680398336
23,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030360259376832512
24,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356215937683456
25,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356202830454785
26,RT @CCNSWResearch: Congrats to our research grantees who were awarded @nhmrc funding this week: @garvey_gail (@MenziesResearch) Prof Kathar…,[],1030356181460480000
